paper_key,file,page,value,unit,topic,gravity_context,snippet
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,6,mm,length scale/microstructure,earth-vs-microgravity comparison,"vy with over 99% detached. EPD reduced to 10 2/cm2 from 105 - 106/cm2 in seed. Single from space, polycrystal from earth. Chernov et al. [78] Ge (+5x1018 Ga /cm3) <100> Part in quartz or Pyrex, part free. 760 torr Ar D = 6 mm GF G = 125 K/cm with quartz. G = 95 K/cm with Pyrex. Melted back ~20 mm MASER 2 rocket (7 min). Mirror furnace. 1990 Regular ridges in growth direction with quartz. Attached to Pyrex. Cracks in free part, attributed to"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,60,mm,length scale/microstructure,earth/1g,"11 Ge (+ 1017 Ga/cm3) Carbon-coated quartz D = 9.1 mm L = 60 mm Translated 11.3 mm/hr Salyut-6. Kristall. Irregular lateral mounds and longitudinal ridges in contact. EPD 2x10 3/cm2 (earth 2x105 cm-2). Axial segregation reduced. Markov et al. [70,71] Ge (+ 1020 In/cm3) <111> Carbon-"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,7,mm,length scale/microstructure,microgravity/space,"Transparent furnace. 1992 Strong adhesion to ampoule and carbon sheets at ends. Crack in ampoule at end of growth. Convex interface. EPD ~ 10 6/cm2 (slightly lower) Nishinaga et al. [80,81] Ge (Ga doped) Part in quartz, 7 mm free. ~ 10 -6 torr Ar D = 6 mm GF 360 - 468 mm/hr G = 35 K/cm MASER-2 rocket. Swedish mirror Crystal Growth Furnace. Large bubbles on part in quartz. Radial variation in Ga attributed to Marangoni convection in uncovere"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,7.8,mm,length scale/microstructure,earth/1g,"lateral mounds and longitudinal ridges in contact. EPD 2x10 3/cm2 (earth 2x105 cm-2). Axial segregation reduced. Markov et al. [70,71] Ge (+ 1020 In/cm3) <111> Carbon-coated quartz. Graphite end supports. 10 -5 torr D = 7.8 mm L = 72 mm Translated 11.3 mm/hr Soak 1 hr at 1100oC to melt back 14 mm. Salyut-6. Kristall. 1980 ~ 25 mm partial or fully detached with ~ 0.3 mm gap. Gas bubble on axis near seed. EPD ~ 10 3/cm2. Lower resistivity & hig"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,72,mm,length scale/microstructure,earth/1g,"unds and longitudinal ridges in contact. EPD 2x10 3/cm2 (earth 2x105 cm-2). Axial segregation reduced. Markov et al. [70,71] Ge (+ 1020 In/cm3) <111> Carbon-coated quartz. Graphite end supports. 10 -5 torr D = 7.8 mm L = 72 mm Translated 11.3 mm/hr Soak 1 hr at 1100oC to melt back 14 mm. Salyut-6. Kristall. 1980 ~ 25 mm partial or fully detached with ~ 0.3 mm gap. Gas bubble on axis near seed. EPD ~ 10 3/cm2. Lower resistivity & higher perfec"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,8,mm,length scale/microstructure,earth/1g,"30-40 K/cm. Salyut-6. Splav-01. 1978 Detached. Homogeneous with no cavities when < 3mm/hr. Increasing inhomogen. & density of cavities when > 3 mm/hr. Skin enriched in Cd. Galazka, et al. [66,83-85] HgCdTe (~ 20% Cd) D = 8 mm L=15-30mm GF Cool 11 K/hr (#1) and 2.8 K/hr (#2) Salyut-6. Splav-01 Limited contacts with ampoule wall. EPD 104/cm2 (earth 106/cm2). Skin enriched in Cd. Kurbatov et al. [66,86] Hg0.84Zn0.16Te Quartz. Quartz wool at end"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,9.1,mm,length scale/microstructure,earth/1g,"11 Ge (+ 1017 Ga/cm3) Carbon-coated quartz D = 9.1 mm L = 60 mm Translated 11.3 mm/hr Salyut-6. Kristall. Irregular lateral mounds and longitudinal ridges in contact. EPD 2x10 3/cm2 (earth 2x105 cm-2). Axial segregation reduced. Markov et al. [70,71] Ge (+ 1020 In/cm3) <11"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,> 3,mm,length scale/microstructure,earth/1g,"0 - 900 oC, expt. 37 hr (Syrena 1). Soak 4 hr 45 min, expt 6 hr (Syrena 2). G = 30-40 K/cm. Salyut-6. Splav-01. 1978 Detached. Homogeneous with no cavities when < 3mm/hr. Increasing inhomogen. & density of cavities when > 3 mm/hr. Skin enriched in Cd. Galazka, et al. [66,83-85] HgCdTe (~ 20% Cd) D = 8 mm L=15-30mm GF Cool 11 K/hr (#1) and 2.8 K/hr (#2) Salyut-6. Splav-01 Limited contacts with ampoule wall. EPD 104/cm2 (earth 106/cm2). Skin en"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,~20,mm,length scale/microstructure,earth-vs-microgravity comparison,"r seed. EPD ~ 10 3/cm2. Lower resistivity & higher perfection. Less axial segregation. Calzadilla et al. [66,72-77] Ge (p-type, Zn+Sb; p-type, P+Zn) <111> Quartz. 10 -4 torr L = 40 mm GF ~360 mm/hr 100 s to heat. Melted ~20 mm Exothermic furnace. ~1983 Wavy with over 99% detached. EPD reduced to 10 2/cm2 from 105 - 106/cm2 in seed. Single from space, polycrystal from earth. Chernov et al. [78] Ge (+5x1018 Ga /cm3) <100> Part in quartz or Pyre"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,11,~360,mm,length scale/microstructure,earth-vs-microgravity comparison,".3 mm gap. Gas bubble on axis near seed. EPD ~ 10 3/cm2. Lower resistivity & higher perfection. Less axial segregation. Calzadilla et al. [66,72-77] Ge (p-type, Zn+Sb; p-type, P+Zn) <111> Quartz. 10 -4 torr L = 40 mm GF ~360 mm/hr 100 s to heat. Melted ~20 mm Exothermic furnace. ~1983 Wavy with over 99% detached. EPD reduced to 10 2/cm2 from 105 - 106/cm2 in seed. Single from space, polycrystal from earth. Chernov et al. [78] Ge (+5x1018 Ga /c"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,0.13,mm,length scale/microstructure,microgravity/space,"12 InSb (1018 Te/cm3) <111>B Quartz. Graphite spacers at ends. 10 -7 torr He D = 14.5 mm L = 110 mm Feed 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in growth direction, 25µm avg"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,11.3,mm,length scale/microstructure,earth/1g,"111>B Same as above. Same as above. Same as above. Same as above. Skylab 4. Westinghouse GF. 1974 Attached. Witt, Gatos et al. [27,92,93] InSb (1014 - 5 x 1017 Te/cm3) Carbon-coated quartz D = 9 mm L= 40-50 mm Translated 11.3 mm/hr Soak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov et al. [66,89-91] InSb (undoped) <211> Carbon-coated quartz. 10 -7 tor"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,110,mm,length scale/microstructure,microgravity/space,12 InSb (1018 Te/cm3) <111>B Quartz. Graphite spacers at ends. 10 -7 torr He D = 14.5 mm L = 110 mm Feed 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in growth direct
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,13,mm,length scale/microstructure,earth/1g,"n boundaries, generally twins. No 5µm inclusions near seed as from earth. EPD 10 3-2x105/cm2. Resist & mobility constant. Khashimov et al. [96] InSb (≤ 1016 Zn or ~1019 Te/cm3) <111>B Carbon-coated quartz. 10 -5 torr D = 13mm L= 20-30mm GF 3 - 9 mm/hr Soak 2.3 hr. G = 10K/cm. Cool 11.3 K/hr. Salyut-6 - Soyuz. Splav-01. 1980. One necked in for ~ 20 mm to ~ 1.5 mm maximum gap. Other necked in for ~ 16 mm. Few inclusions, no striations. EPD red"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,14.5,mm,length scale/microstructure,microgravity/space,12 InSb (1018 Te/cm3) <111>B Quartz. Graphite spacers at ends. 10 -7 torr He D = 14.5 mm L = 110 mm Feed 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in gr
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,20-30,mm,length scale/microstructure,earth/1g,"ries, generally twins. No 5µm inclusions near seed as from earth. EPD 10 3-2x105/cm2. Resist & mobility constant. Khashimov et al. [96] InSb (≤ 1016 Zn or ~1019 Te/cm3) <111>B Carbon-coated quartz. 10 -5 torr D = 13mm L= 20-30mm GF 3 - 9 mm/hr Soak 2.3 hr. G = 10K/cm. Cool 11.3 K/hr. Salyut-6 - Soyuz. Splav-01. 1980. One necked in for ~ 20 mm to ~ 1.5 mm maximum gap. Other necked in for ~ 16 mm. Few inclusions, no striations. EPD reduced to ~10"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,25,µm,length scale/microstructure,microgravity/space,"d 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in growth direction, 25µm avg height. Irreg. spaced lines normal to growth direction, attributed to vibrations. Concave interface. Diffusion-controlled seg’n with no fluct’ns. Striations on & near facet on one side. Twins normal to axis. Witt, G"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,2x105,,length scale/microstructure,earth/1g,"ral region free from contact, with hillocks & periodic bands, decreasing from 1/2 of perimeter to 1/5. Bubbles where attached. Fewer grain boundaries, generally twins. No 5µm inclusions near seed as from earth. EPD 10 3-2x105/cm2. Resist & mobility constant. Khashimov et al. [96] InSb (≤ 1016 Zn or ~1019 Te/cm3) <111>B Carbon-coated quartz. 10 -5 torr D = 13mm L= 20-30mm GF 3 - 9 mm/hr Soak 2.3 hr. G = 10K/cm. Cool 11.3 K/hr. Salyut-6 - Soyu"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,3 - 9,mm,length scale/microstructure,earth/1g,"ally twins. No 5µm inclusions near seed as from earth. EPD 10 3-2x105/cm2. Resist & mobility constant. Khashimov et al. [96] InSb (≤ 1016 Zn or ~1019 Te/cm3) <111>B Carbon-coated quartz. 10 -5 torr D = 13mm L= 20-30mm GF 3 - 9 mm/hr Soak 2.3 hr. G = 10K/cm. Cool 11.3 K/hr. Salyut-6 - Soyuz. Splav-01. 1980. One necked in for ~ 20 mm to ~ 1.5 mm maximum gap. Other necked in for ~ 16 mm. Few inclusions, no striations. EPD reduced to ~100/cm 2. Zems"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,30,mm,length scale/microstructure,microgravity/space,"92,93] InSb (+ 1018 Te/cm3) <111>B Same as above. Same as above. ~10 mm/hr, power off briefly, then ~17 mm/hr Soak 60 min. Cool 70.2 K/hr for 140 min. Power off. Grew 60 mm Skylab 4. Westinghouse GF. 1974 Reduced dia for 30 mm with irreg spaced lines normal to axis. Then irregularly spaced ridges ~ 25 µm high in contact. Diffusion-controlled seg’n with no fluct’ns. Striations on and near facet. EPD 40% less. Twins normal to axis. Witt, Gatos"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,40-50,mm,length scale/microstructure,earth/1g,"ed & ~10 20Sn/cm3) <111>B Same as above. Same as above. Same as above. Same as above. Skylab 4. Westinghouse GF. 1974 Attached. Witt, Gatos et al. [27,92,93] InSb (1014 - 5 x 1017 Te/cm3) Carbon-coated quartz D = 9 mm L= 40-50 mm Translated 11.3 mm/hr Soak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov et al. [66,89-91] InSb (undoped) <211> Carbon-coate"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,5,µm,length scale/microstructure,earth/1g,"anslated 11.3 mm/hr Salyut-6. Kristall. ~ 1978 Spiral region free from contact, with hillocks & periodic bands, decreasing from 1/2 of perimeter to 1/5. Bubbles where attached. Fewer grain boundaries, generally twins. No 5µm inclusions near seed as from earth. EPD 10 3-2x105/cm2. Resist & mobility constant. Khashimov et al. [96] InSb (≤ 1016 Zn or ~1019 Te/cm3) <111>B Carbon-coated quartz. 10 -5 torr D = 13mm L= 20-30mm GF 3 - 9 mm/hr Soak"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,5 x 1017,,length scale/microstructure,earth/1g,"o axis. Witt, Gatos et al. [27,92,95] InSb (undoped & ~10 20Sn/cm3) <111>B Same as above. Same as above. Same as above. Same as above. Skylab 4. Westinghouse GF. 1974 Attached. Witt, Gatos et al. [27,92,93] InSb (1014 - 5 x 1017 Te/cm3) Carbon-coated quartz D = 9 mm L= 40-50 mm Translated 11.3 mm/hr Soak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov e"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,5x104,,length scale/microstructure,earth/1g,". [27,92,93] InSb (1014 - 5 x 1017 Te/cm3) Carbon-coated quartz D = 9 mm L= 40-50 mm Translated 11.3 mm/hr Soak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov et al. [66,89-91] InSb (undoped) <211> Carbon-coated quartz. 10 -7 torr D = 8 mm L = 60 mm Translated 11.3 mm/hr Salyut-6. Kristall. ~ 1978 Contact only on oblong mounds (hillocks). Elsewhere"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,60,mm,length scale/microstructure,microgravity/space,"12 InSb (1018 Te/cm3) <111>B Quartz. Graphite spacers at ends. 10 -7 torr He D = 14.5 mm L = 110 mm Feed 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in growth direction, 25µm avg height. Irreg. spaced lines normal to growth direction, attributed to vibrations. Concave interface. Diffusio"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,8,mm,length scale/microstructure,earth/1g,"oak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov et al. [66,89-91] InSb (undoped) <211> Carbon-coated quartz. 10 -7 torr D = 8 mm L = 60 mm Translated 11.3 mm/hr Salyut-6. Kristall. ~ 1978 Contact only on oblong mounds (hillocks). Elsewhere matte. EPD 250/cm 2. Particles mark seeding boundary. Many twins. Khashimov et al. [96] InSb (7x1017Te/cm3)"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,9,mm,length scale/microstructure,earth/1g,"b (undoped & ~10 20Sn/cm3) <111>B Same as above. Same as above. Same as above. Same as above. Skylab 4. Westinghouse GF. 1974 Attached. Witt, Gatos et al. [27,92,93] InSb (1014 - 5 x 1017 Te/cm3) Carbon-coated quartz D = 9 mm L= 40-50 mm Translated 11.3 mm/hr Soak 2 hr Salyut-6. Kristall. ~ 1978 Detached 1/3 to 1/2 of length EPD in detached regions ~2.5x10/cm 2 (earth ≥ 5x104/cm2). Striations. Khryapov et al. [66,89-91] InSb (undoped) <211>"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,~ 25,µm,length scale/microstructure,microgravity/space,"wer off briefly, then ~17 mm/hr Soak 60 min. Cool 70.2 K/hr for 140 min. Power off. Grew 60 mm Skylab 4. Westinghouse GF. 1974 Reduced dia for 30 mm with irreg spaced lines normal to axis. Then irregularly spaced ridges ~ 25 µm high in contact. Diffusion-controlled seg’n with no fluct’ns. Striations on and near facet. EPD 40% less. Twins normal to axis. Witt, Gatos et al. [27,92,95] InSb (undoped & ~10 20Sn/cm3) <111>B Same as above. Same as a"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,~10,mm,length scale/microstructure,microgravity/space,"as above. Same as above. Same as above. Skylab 3. Westinghouse GF. 1973 Same dia as ampoule. Smooth and shiny. Random gas bubbles. Witt, Gatos et al. [27,92,93] InSb (+ 1018 Te/cm3) <111>B Same as above. Same as above. ~10 mm/hr, power off briefly, then ~17 mm/hr Soak 60 min. Cool 70.2 K/hr for 140 min. Power off. Grew 60 mm Skylab 4. Westinghouse GF. 1974 Reduced dia for 30 mm with irreg spaced lines normal to axis. Then irregularly spaced"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,~12,mm,length scale/microstructure,microgravity/space,"12 InSb (1018 Te/cm3) <111>B Quartz. Graphite spacers at ends. 10 -7 torr He D = 14.5 mm L = 110 mm Feed 0.13 mm smaller diameter. GF ~12 mm/hr Heat up 120 min. Soak 60 min. Cool 70.2 K/hr for ~ 4 hr. Power off. Grew 60 mm Skylab 3. Westinghouse GF. 1973 Same dia as feed with irregularly spaced ridges in growth direction, 25µm avg height. Irreg. spaced lines"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,12,~17,mm,length scale/microstructure,microgravity/space,"bove. Skylab 3. Westinghouse GF. 1973 Same dia as ampoule. Smooth and shiny. Random gas bubbles. Witt, Gatos et al. [27,92,93] InSb (+ 1018 Te/cm3) <111>B Same as above. Same as above. ~10 mm/hr, power off briefly, then ~17 mm/hr Soak 60 min. Cool 70.2 K/hr for 140 min. Power off. Grew 60 mm Skylab 4. Westinghouse GF. 1974 Reduced dia for 30 mm with irreg spaced lines normal to axis. Then irregularly spaced ridges ~ 25 µm high in contact. Dif"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,10,mm,length scale/microstructure,earth/1g,"ly. No striations. 3.6% radial variation in resistivity compared to 34% from earth. Zhang et al. [106,107] InSb (undoped & 9x10 19 Sn/cm3) Quartz tube capped by graphite ends. With getters, <4x10 -3 torr after exp’t. D = 10 mm. Machined increase to14 mm part way down. L = 100 mm 0 to ~ 22 mm/hr, via calorimetric measure. Soak 2 hr. Cool 4.3 hr. D1 (Shuttle). Gradient Heating Facility. 1987 Attached except where rough from machining. Wide bubb"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,100,mm,length scale/microstructure,earth/1g,"ity compared to 34% from earth. Zhang et al. [106,107] InSb (undoped & 9x10 19 Sn/cm3) Quartz tube capped by graphite ends. With getters, <4x10 -3 torr after exp’t. D = 10 mm. Machined increase to14 mm part way down. L = 100 mm 0 to ~ 22 mm/hr, via calorimetric measure. Soak 2 hr. Cool 4.3 hr. D1 (Shuttle). Gradient Heating Facility. 1987 Attached except where rough from machining. Wide bubble over 22% at start of growth of Sn- doped, less on"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,12,mm,length scale/microstructure,microgravity/space,"growth of Sn- doped, less on undoped. Detached part faceted. Intensive segregation of Sn near bubble, attributed to Marangoni convection. Duffar et al. [108-110] InSb Quartz and BN tubes with graphite & BN end caps. D = 12 mm L = 15 mm Cooled in ~ 100 s. TEXUS 31 rocket (5 min). TEM01 Isothermal Furnace. Kept shape of feed rods due to oxide coating, which was ~1µm thick & mostly Sb oxide. Duffar et al. [39] InSb 2 quartz & 2 BN tubes with C"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,14,mm,length scale/microstructure,earth/1g,"al variation in resistivity compared to 34% from earth. Zhang et al. [106,107] InSb (undoped & 9x10 19 Sn/cm3) Quartz tube capped by graphite ends. With getters, <4x10 -3 torr after exp’t. D = 10 mm. Machined increase to14 mm part way down. L = 100 mm 0 to ~ 22 mm/hr, via calorimetric measure. Soak 2 hr. Cool 4.3 hr. D1 (Shuttle). Gradient Heating Facility. 1987 Attached except where rough from machining. Wide bubble over 22% at start of gro"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,15,mm,length scale/microstructure,microgravity/space,"Sn- doped, less on undoped. Detached part faceted. Intensive segregation of Sn near bubble, attributed to Marangoni convection. Duffar et al. [108-110] InSb Quartz and BN tubes with graphite & BN end caps. D = 12 mm L = 15 mm Cooled in ~ 100 s. TEXUS 31 rocket (5 min). TEM01 Isothermal Furnace. Kept shape of feed rods due to oxide coating, which was ~1µm thick & mostly Sb oxide. Duffar et al. [39] InSb 2 quartz & 2 BN tubes with C end caps."
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,64,mm,length scale/microstructure,microgravity/space,"eleration” event. When full contact, nucleated new grains and EPD increased. Striations full length of Te-doped. Reduced axial segregation. Redden & Mickleth’t [47-49] NaF-NaCl (eutectic; 21% NaF) Graphite D = 7.9 mm L = 64 mm GF Cool 36 K/hr. G = 50 K/cm Skylab. Westinghouse GF. 1974 Detached. Fewer faults, better optical transmission. Yue and Yu [9,112, 113] PbBr2 (+ 2% PbCl2, quartz particles) Quartz. ~10 -5 torr GF TR-IA 3 rocket (6 min)."
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,7.9,mm,length scale/microstructure,microgravity/space,"ted to “acceleration” event. When full contact, nucleated new grains and EPD increased. Striations full length of Te-doped. Reduced axial segregation. Redden & Mickleth’t [47-49] NaF-NaCl (eutectic; 21% NaF) Graphite D = 7.9 mm L = 64 mm GF Cool 36 K/hr. G = 50 K/cm Skylab. Westinghouse GF. 1974 Detached. Fewer faults, better optical transmission. Yue and Yu [9,112, 113] PbBr2 (+ 2% PbCl2, quartz particles) Quartz. ~10 -5 torr GF TR-IA 3 rocke"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,~ 22,mm,length scale/microstructure,earth/1g,"to 34% from earth. Zhang et al. [106,107] InSb (undoped & 9x10 19 Sn/cm3) Quartz tube capped by graphite ends. With getters, <4x10 -3 torr after exp’t. D = 10 mm. Machined increase to14 mm part way down. L = 100 mm 0 to ~ 22 mm/hr, via calorimetric measure. Soak 2 hr. Cool 4.3 hr. D1 (Shuttle). Gradient Heating Facility. 1987 Attached except where rough from machining. Wide bubble over 22% at start of growth of Sn- doped, less on undoped. Deta"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,13,~1,µm,length scale/microstructure,microgravity/space,"ar et al. [108-110] InSb Quartz and BN tubes with graphite & BN end caps. D = 12 mm L = 15 mm Cooled in ~ 100 s. TEXUS 31 rocket (5 min). TEM01 Isothermal Furnace. Kept shape of feed rods due to oxide coating, which was ~1µm thick & mostly Sb oxide. Duffar et al. [39] InSb 2 quartz & 2 BN tubes with C end caps. One each smooth, one with grooves. Vacuum (Ar). D = 12 mm L = 15 mm Cooled in ~ 100 s. TEXUS 32 rocket (5 min). TEM01 Isothermal Fu"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,14,10,mm,length scale/microstructure,microgravity/space,"14 PbTe (+ 1018Ag/cm3) Quartz. 380-610 torr Ar D = 17 mm L = 50 mm GF 10 mm/hr G = 30 K/cm. Cool 30 K/hr. Spacelab-1 (Shuttle). CNES GF Many bubbles up to 4 mm in diameter. No gap apparent on remainder. Reduced axial segregation. Rodot & Tottereau [120,121] PbSe0.5Te0.5 Quartz GF 2-50 mm/hr Soa"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,14,10,mm,length scale/microstructure,earth/1g,"k 1 hr. G > 40 K/cm. SL-J/FMPT (Shuttle) 1992 Part detached. EPD 5x10 5/cm2 (earth 3x106/cm2). Mobility & resistivity ~2x higher. Homogeneous in void- free part. Kinoshita [116,117, 124,125] PbSnTe Quartz. 10 -6 torr D = 10 mm L = 77 mm Zone melt at 2mm/hr for 4 hr Mirror furnace. Wavy surface. Slid out of ampoule easier. 77K mobility 3x larger. Composition almost constant. Sohachi & Segawa [126] Pb0.8Sn0.2Te Translated Soak 12-24 hr. U SMP-3"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,14,15,mm,length scale/microstructure,earth/1g,"20 K/cm Shuttle STS 61A. 3-zone MEA furnace. 1985 Few small grains contacted the wall. Remainder detached with very small gap. Fripp et al. [122,123] Pb0.8Sn0.2Te <111> BN. BN piston with graphite spring. <10 -5 torr D = 15 mm L = 58 mm Translated 5.5 mm/hr. Grew 32 mm. Heat up 1 hr. Soak 1 hr. G > 40 K/cm. SL-J/FMPT (Shuttle) 1992 Part detached. EPD 5x10 5/cm2 (earth 3x106/cm2). Mobility & resistivity ~2x higher. Homogeneous in void- free pa"
Detached_Solidification_in_Microgravity_A_Review,ReferencePapers/Detached_Solidification_in_Microgravity_A_Review.pdf,14,17,mm,length scale/microstructure,microgravity/space,"14 PbTe (+ 1018Ag/cm3) Quartz. 380-610 torr Ar D = 17 mm L = 50 mm GF 10 mm/hr G = 30 K/cm. Cool 30 K/hr. Spacelab-1 (Shuttle). CNES GF Many bubbles up to 4 mm in diameter. No gap apparent on remainder. Reduced axial segregation. Rodot & Tottereau [120,121] PbSe0.5Te0.5 Quart"
