paper_key,topic,gravity_context,snippet_count
Progress+in+the+solidification+of+monotectic+alloys+under+the+microgravity+condition+of+space,length scale/microstructure,microgravity/space,3
Progress+in+the+solidification+of+monotectic+alloys+under+the+microgravity+condition+of+space,length scale/microstructure,earth-vs-microgravity comparison,1
Properties and Solidification of Metallic Melts under Microgravity ,thermal condition,microgravity/space,1
Simulation of international space station microgravity directional solidification experiments on columnar-to-equiaxed transition,length scale/microstructure,microgravity/space,4
Simulation of international space station microgravity directional solidification experiments on columnar-to-equiaxed transition,alloy composition,microgravity/space,3
Simulation of international space station microgravity directional solidification experiments on columnar-to-equiaxed transition,gravity/time/facility,microgravity/space,1
Simulation of international space station microgravity directional solidification experiments on columnar-to-equiaxed transition,length scale/microstructure,earth-vs-microgravity comparison,1
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,length scale/microstructure,microgravity/space,6
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,thermal condition,earth-vs-microgravity comparison,5
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,gravity/time/facility,earth-vs-microgravity comparison,3
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,growth/velocity,earth-vs-microgravity comparison,3
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,length scale/microstructure,earth-vs-microgravity comparison,2
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,thermal condition,microgravity/space,2
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,gravity/time/facility,microgravity/space,1
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,growth/velocity,earth/1g,1
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,growth/velocity,microgravity/space,1
Solidification of Al-Bi-Sn immiscible alloy under microgravity conditions of space,length scale/microstructure,earth/1g,1
Solidification of Containerless Undercooled Melts - 2012 - Herlach,thermal condition,microgravity/space,40
Solidification of Containerless Undercooled Melts - 2012 - Herlach,length scale/microstructure,microgravity/space,30
Solidification of Containerless Undercooled Melts - 2012 - Herlach,thermal condition,earth/1g,15
Solidification of Containerless Undercooled Melts - 2012 - Herlach,alloy composition,microgravity/space,12
Solidification of Containerless Undercooled Melts - 2012 - Herlach,gravity/time/facility,microgravity/space,8
Solidification of Containerless Undercooled Melts - 2012 - Herlach,thermal condition,earth-vs-microgravity comparison,8
Solidification of Containerless Undercooled Melts - 2012 - Herlach,alloy composition,earth/1g,7
Solidification of Containerless Undercooled Melts - 2012 - Herlach,alloy composition,earth-vs-microgravity comparison,5
Solidification of Containerless Undercooled Melts - 2012 - Herlach,length scale/microstructure,earth-vs-microgravity comparison,5
Solidification of Containerless Undercooled Melts - 2012 - Herlach,length scale/microstructure,earth/1g,5
Solidification of Containerless Undercooled Melts - 2012 - Herlach,thermophysical/mechanical property,microgravity/space,4
Solidification of Containerless Undercooled Melts - 2012 - Herlach,gravity/time/facility,earth/1g,1
Solidification of Containerless Undercooled Melts - 2012 - Herlach,thermophysical/mechanical property,earth/1g,1
Solidification of Immiscible Alloys- A Review,alloy composition,earth/1g,3
Solidification of Immiscible Alloys- A Review,alloy composition,microgravity/space,1
Solidification of Immiscible Alloys- A Review,gravity/time/facility,earth-vs-microgravity comparison,1
Solidification of Immiscible Alloys- A Review,thermal condition,earth-vs-microgravity comparison,1
Solidification of Immiscible Alloys- A Review,thermophysical/mechanical property,microgravity/space,1
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,thermal condition,earth-vs-microgravity comparison,4
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,thermal condition,microgravity/space,4
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,thermal condition,earth/1g,3
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,growth/velocity,earth-vs-microgravity comparison,1
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,growth/velocity,earth/1g,1
Solidification of Undercooled Melts of Al-Based Alloys on Earth and in Space,length scale/microstructure,microgravity/space,1
Solidification+and+Crystal+Growth+on+the+SJ-10+Recoverable+Scientific+Experiment+Satellite,length scale/microstructure,earth-vs-microgravity comparison,2
Solidification+and+Crystal+Growth+on+the+SJ-10+Recoverable+Scientific+Experiment+Satellite,alloy composition,microgravity/space,1
Solidification+and+Crystal+Growth+on+the+SJ-10+Recoverable+Scientific+Experiment+Satellite,length scale/microstructure,microgravity/space,1
Space flight data from the Isothermal Dendritic Growth Experiment ,thermal condition,earth-vs-microgravity comparison,6
Space flight data from the Isothermal Dendritic Growth Experiment ,length scale/microstructure,microgravity/space,2
Space flight data from the Isothermal Dendritic Growth Experiment ,alloy composition,earth-vs-microgravity comparison,1
Space flight data from the Isothermal Dendritic Growth Experiment ,gravity/time/facility,earth-vs-microgravity comparison,1
Space flight data from the Isothermal Dendritic Growth Experiment ,thermal condition,earth/1g,1
Space flight data from the Isothermal Dendritic Growth Experiment ,thermal condition,microgravity/space,1
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,length scale/microstructure,microgravity/space,6
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,gravity/time/facility,earth-vs-microgravity comparison,3
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,thermal condition,earth-vs-microgravity comparison,2
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,alloy composition,earth-vs-microgravity comparison,1
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,thermal condition,microgravity/space,1
Space+Materials+Science+in+China_+I.+Experiment+Studies+under+Microgravity,thermophysical/mechanical property,microgravity/space,1
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,thermal condition,microgravity/space,7
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,length scale/microstructure,microgravity/space,3
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,thermal condition,earth/1g,2
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,alloy composition,earth/1g,1
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,alloy composition,microgravity/space,1
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,thermal condition,earth-vs-microgravity comparison,1
Spiral eutectic growth dynamics facilitated by space Marangoni convection and liquid surface wave,thermophysical/mechanical property,earth-vs-microgravity comparison,1
Structural evolution and micromechanical properties of ternary Alsingle bondAgsingle bondGe alloy solidified under microgravity condition,thermophysical/mechanical property,microgravity/space,6
Structural evolution and micromechanical properties of ternary Alsingle bondAgsingle bondGe alloy solidified under microgravity condition,length scale/microstructure,microgravity/space,5
Structural evolution and micromechanical properties of ternary Alsingle bondAgsingle bondGe alloy solidified under microgravity condition,thermal condition,microgravity/space,3
Structural evolution and micromechanical properties of ternary Alsingle bondAgsingle bondGe alloy solidified under microgravity condition,gravity/time/facility,microgravity/space,2
Structural evolution and micromechanical properties of ternary Alsingle bondAgsingle bondGe alloy solidified under microgravity condition,alloy composition,earth-vs-microgravity comparison,1
Studies of Thermophysical Properties of Metals and Semiconductors by Containerless Processing Under Microgravity,thermal condition,earth/1g,5
Studies of Thermophysical Properties of Metals and Semiconductors by Containerless Processing Under Microgravity,gravity/time/facility,earth/1g,2
Studies of Thermophysical Properties of Metals and Semiconductors by Containerless Processing Under Microgravity,gravity/time/facility,microgravity/space,1
Studies of Thermophysical Properties of Metals and Semiconductors by Containerless Processing Under Microgravity,length scale/microstructure,microgravity/space,1
The Impurity Effect in the Space Shuttle Dendritic Growth Experiments with Succinonitrile,alloy composition,microgravity/space,6
The Impurity Effect in the Space Shuttle Dendritic Growth Experiments with Succinonitrile,thermal condition,microgravity/space,2
The Impurity Effect in the Space Shuttle Dendritic Growth Experiments with Succinonitrile,growth/velocity,microgravity/space,1
The Role of Gravity on Macrosegregation in Alloys,length scale/microstructure,earth/1g,7
The Role of Gravity on Macrosegregation in Alloys,gravity/time/facility,earth/1g,2
The Role of Gravity on Macrosegregation in Alloys,thermal condition,earth/1g,2
Thermophysical Property Measurements of Liquid Metals in Microgravity,thermal condition,microgravity/space,2
Thermophysical properties of liquid Co–Cr–Mo alloys measured by electromagnetic levitation in a static magnetic field,thermal condition,microgravity/space,10
Thermophysical properties of liquid Co–Cr–Mo alloys measured by electromagnetic levitation in a static magnetic field,alloy composition,microgravity/space,9
Thermophysical properties of liquid Co–Cr–Mo alloys measured by electromagnetic levitation in a static magnetic field,gravity/time/facility,microgravity/space,2
Thermophysical properties of liquid Co–Cr–Mo alloys measured by electromagnetic levitation in a static magnetic field,length scale/microstructure,microgravity/space,1
Thermophysical properties of liquid Co–Cr–Mo alloys measured by electromagnetic levitation in a static magnetic field,thermophysical/mechanical property,microgravity/space,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,thermal condition,microgravity/space,19
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,length scale/microstructure,microgravity/space,5
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,alloy composition,microgravity/space,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,field/power,microgravity/space,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,gravity/time/facility,microgravity/space,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,length scale/microstructure,earth-vs-microgravity comparison,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,length scale/microstructure,earth/1g,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,thermophysical/mechanical property,earth-vs-microgravity comparison,1
Wrinkled Shrinkage on Surface Monophasic Structure of Floating Refractory Alloy Droplets Solidified in Space Environment,thermophysical/mechanical property,microgravity/space,1
X-Ray Radiographic Observation of Directional Solidification Under Microgravity- XRMON-GF Experiments on MASER12 Sounding Rocket Mission_REINHART,gravity/time/facility,microgravity/space,4
X-Ray Radiographic Observation of Directional Solidification Under Microgravity- XRMON-GF Experiments on MASER12 Sounding Rocket Mission_REINHART,alloy composition,earth-vs-microgravity comparison,2
X-Ray Radiographic Observation of Directional Solidification Under Microgravity- XRMON-GF Experiments on MASER12 Sounding Rocket Mission_REINHART,length scale/microstructure,microgravity/space,2
X-Ray Radiographic Observation of Directional Solidification Under Microgravity- XRMON-GF Experiments on MASER12 Sounding Rocket Mission_REINHART,field/power,microgravity/space,1
X-Ray Radiographic Observation of Directional Solidification Under Microgravity- XRMON-GF Experiments on MASER12 Sounding Rocket Mission_REINHART,thermal condition,microgravity/space,1
